2, 0.075316, 0.271595, 0.049155, 0.061172, 0.011427, 0.468665
2, 0.100053, 0.197489, 0.045615, 0.066154, 0.014113, 0.423424
2, 0.084757, 0.190224, 0.041443, 0.090289, 0.012037, 0.418750
2, 0.072915, 0.251026, 0.050310, 0.067070, 0.011054, 0.452375
2, 0.114190, 0.171946, 0.041227, 0.058543, 0.012164, 0.398070
2, 0.080178, 0.270440, 0.049269, 0.056992, 0.011425, 0.468304
2, 0.060916, 0.250141, 0.047961, 0.075800, 0.011414, 0.446232
2, 0.173974, 0.171769, 0.040904, 0.056631, 0.011418, 0.454696
2, 0.082610, 0.250657, 0.047889, 0.067545, 0.011425, 0.460126
2, 0.141961, 0.171908, 0.041049, 0.058139, 0.011426, 0.424483
2, 0.127591, 0.250610, 0.045986, 0.056926, 0.011790, 0.492903
2, 0.098042, 0.173094, 0.040603, 0.058667, 0.012166, 0.382572
2, 0.103175, 0.189132, 0.040883, 0.056399, 0.011776, 0.401365
2, 0.067832, 0.187745, 0.041197, 0.058477, 0.012165, 0.367416
2, 0.197394, 0.179030, 0.041326, 0.058696, 0.011471, 0.487917
2, 0.115464, 0.179299, 0.048617, 0.081973, 0.011415, 0.436768
2, 0.124623, 0.171684, 0.041217, 0.058866, 0.012032, 0.408422
2, 0.074730, 0.167522, 0.041332, 0.059090, 0.012169, 0.354843
2, 0.089053, 0.187306, 0.041032, 0.056712, 0.011771, 0.385874
2, 0.112731, 0.261743, 0.047606, 0.058069, 0.011426, 0.491575
2, 0.090037, 0.191856, 0.039482, 0.055910, 0.011390, 0.388675
2, 0.223762, 0.227165, 0.037587, 0.054337, 0.011409, 0.554260
2, 0.062481, 0.250758, 0.047315, 0.074980, 0.011396, 0.446930
2, 0.075076, 0.250530, 0.048763, 0.069008, 0.011404, 0.454781
2, 0.103072, 0.172500, 0.040625, 0.058726, 0.012171, 0.387094
2, 0.100789, 0.186278, 0.041355, 0.058945, 0.012153, 0.399520
2, 0.082292, 0.187969, 0.040652, 0.059324, 0.012166, 0.382403
2, 0.059062, 0.186817, 0.040302, 0.085786, 0.016661, 0.388628
2, 0.079867, 0.189206, 0.041108, 0.058523, 0.012173, 0.380877
2, 0.054081, 0.267231, 0.047877, 0.069490, 0.011448, 0.450127
2, 0.066725, 0.186105, 0.041669, 0.058520, 0.012159, 0.365178
2, 0.068609, 0.270923, 0.048209, 0.064261, 0.011458, 0.463460
2, 0.054690, 0.251020, 0.048622, 0.076305, 0.011785, 0.442422
2, 0.062599, 0.172124, 0.040354, 0.059386, 0.012160, 0.346623
2, 0.064002, 0.190432, 0.041759, 0.059095, 0.012153, 0.367441
2, 0.073598, 0.267330, 0.048109, 0.061115, 0.011407, 0.461559
2, 0.117954, 0.172770, 0.041247, 0.058604, 0.012188, 0.402763
2, 0.136931, 0.162702, 0.040387, 0.055430, 0.011414, 0.406864
2, 0.169774, 0.237423, 0.039746, 0.053744, 0.011069, 0.511756
2, 0.217418, 0.173648, 0.040298, 0.053623, 0.011085, 0.496072
2, 0.107558, 0.172901, 0.042383, 0.058861, 0.012185, 0.393888
2, 0.078491, 0.265401, 0.049219, 0.061235, 0.011078, 0.465424
2, 0.053862, 0.250624, 0.048545, 0.076039, 0.011411, 0.440481
2, 0.159429, 0.242197, 0.040505, 0.050912, 0.011075, 0.504118
2, 0.072194, 0.265803, 0.048233, 0.067217, 0.011409, 0.464856
2, 0.083138, 0.172013, 0.041137, 0.058347, 0.012169, 0.366804
2, 0.062513, 0.221624, 0.048519, 0.084203, 0.011432, 0.428291
2, 0.104811, 0.251249, 0.049678, 0.056790, 0.011433, 0.473961
2, 0.056122, 0.174274, 0.042550, 0.059544, 0.012159, 0.344649
2, 0.053153, 0.373970, 0.041896, 0.057972, 0.011447, 0.538438
