dataset,krao,selection,proj_sel,proj_sel_qtt,bang,total
1, 0.087469, 0.115718, 0.025196, 0.045594, 0.008329, 0.282306
1, 0.061269, 0.087027, 0.021572, 0.029127, 0.006088, 0.205083
1, 0.138382, 0.082492, 0.020747, 0.028710, 0.005877, 0.276208
1, 0.166673, 0.079184, 0.019140, 0.027969, 0.005691, 0.298657
1, 0.124019, 0.081731, 0.021176, 0.028177, 0.005704, 0.260807
1, 0.100602, 0.081353, 0.021310, 0.028619, 0.005697, 0.237581
1, 0.078648, 0.083763, 0.022356, 0.029434, 0.006090, 0.220291
1, 0.061391, 0.086048, 0.022043, 0.031671, 0.008296, 0.209449
1, 0.122134, 0.083935, 0.021321, 0.027919, 0.005885, 0.261194
1, 0.087722, 0.086968, 0.020373, 0.029682, 0.006086, 0.230831
1, 0.147318, 0.087588, 0.021358, 0.045634, 0.008357, 0.310255
1, 0.134047, 0.086247, 0.020218, 0.029396, 0.006092, 0.276000
1, 0.068049, 0.099298, 0.023272, 0.030984, 0.006081, 0.227684
1, 0.051834, 0.138582, 0.024518, 0.045567, 0.008325, 0.268826
1, 0.056418, 0.100870, 0.024300, 0.045489, 0.008324, 0.235401
1, 0.049230, 0.098345, 0.022967, 0.030790, 0.006082, 0.207414
1, 0.144925, 0.091135, 0.020729, 0.029979, 0.012626, 0.299394
1, 0.051331, 0.098510, 0.022370, 0.032286, 0.006080, 0.210577
1, 0.059023, 0.086481, 0.020134, 0.029686, 0.006092, 0.201416
1, 0.050279, 0.143603, 0.027770, 0.051950, 0.009671, 0.283273
1, 0.080404, 0.086953, 0.021118, 0.028922, 0.006085, 0.223482
1, 0.214574, 0.086961, 0.021449, 0.029747, 0.006080, 0.358811
1, 0.087383, 0.086583, 0.021888, 0.029853, 0.006085, 0.231792
1, 0.107344, 0.078425, 0.020616, 0.028637, 0.006083, 0.241105
1, 0.095461, 0.085441, 0.021172, 0.030231, 0.006081, 0.238386
1, 0.112700, 0.084854, 0.021516, 0.028102, 0.006080, 0.253252
1, 0.132524, 0.079966, 0.020415, 0.027272, 0.005888, 0.266065
1, 0.055705, 0.086888, 0.020972, 0.030289, 0.006085, 0.199939
1, 0.078756, 0.086919, 0.021547, 0.030096, 0.006083, 0.223401
1, 0.089041, 0.083799, 0.021396, 0.029624, 0.006086, 0.229946
